Timestamp,Fav genre,Age group
8/31/2022 23:09:44,Metal,Jóvenes adultos
9/1/2022 2:32:43,Rock,Jóvenes adultos
9/1/2022 3:38:02,Pop,Niños
9/1/2022 5:01:52,Rock,Jóvenes adultos
9/1/2022 9:25:07,Rock,Jóvenes
9/1/2022 12:04:47,Pop,Jóvenes adultos
9/1/2022 13:13:06,Rock,Adultos
9/1/2022 14:56:21,Rock,Adultos
9/1/2022 14:57:20,Pop,Adultos
9/1/2022 14:59:20,Rock,Adultos
9/1/2022 15:01:10,Metal,Jóvenes adultos
9/1/2022 15:05:15,Metal,Adultos
9/1/2022 15:24:13,Metal,Adultos
9/1/2022 15:36:18,Rock,Adultos
9/1/2022 15:50:14,Rock,Jóvenes
9/1/2022 16:30:33,Metal,Adultos
9/1/2022 16:35:30,Rock,Adultos
9/1/2022 16:38:05,Rock,Jóvenes adultos
9/1/2022 16:43:48,Rock,Adultos
9/1/2022 17:00:07,Rock,Adultos
9/1/2022 17:27:50,Rock,Adultos
9/1/2022 17:33:02,Pop,Niños
9/1/2022 18:38:46,Rock,Jóvenes
9/1/2022 19:08:55,Rock,Adultos
9/1/2022 19:09:32,Metal,Adultos
9/1/2022 19:39:07,Pop,Jóvenes
9/1/2022 19:39:49,Pop,Jóvenes adultos
9/1/2022 21:07:33,Pop,Adultos
9/1/2022 23:11:19,Rock,Jóvenes
9/2/2022 0:20:40,Metal,Jóvenes adultos
9/2/2022 0:32:48,Pop,Jóvenes
9/2/2022 1:03:00,Rock,Jóvenes adultos
9/2/2022 3:06:53,Rock,Jóvenes adultos
9/2/2022 3:32:55,Rock,Adultos
9/2/2022 3:36:18,Metal,Jóvenes adultos
9/2/2022 4:06:21,Rock,Adultos
9/2/2022 4:56:56,Rock,Adultos
9/2/2022 5:21:18,Rock,Adultos
9/2/2022 5:49:20,Pop,Jóvenes adultos
9/2/2022 6:41:49,Pop,Jóvenes
9/2/2022 7:13:38,Pop,Adultos
9/2/2022 8:05:59,Rock,Adultos
9/2/2022 9:15:48,Metal,Jóvenes adultos
9/2/2022 9:54:23,Rock,Adultos
9/2/2022 14:31:06,Pop,Jóvenes adultos
9/2/2022 16:14:44,Pop,Jóvenes
9/2/2022 19:20:33,Rock,Adultos
9/2/2022 21:14:59,Pop,Jóvenes adultos
9/2/2022 21:19:33,Pop,Jóvenes
9/2/2022 22:18:57,Rock,Jóvenes
9/3/2022 3:54:07,Rock,Adultos
9/3/2022 5:27:15,Rock,Jóvenes adultos
9/3/2022 7:09:22,Rock,Adultos
9/3/2022 8:53:08,Metal,Jóvenes
9/3/2022 10:41:32,Pop,Niños
9/3/2022 12:26:29,Pop,Jóvenes
9/3/2022 14:35:13,Rock,Jóvenes
9/3/2022 15:52:55,Pop,Jóvenes
9/3/2022 16:00:31,Rock,Jóvenes
9/3/2022 18:01:31,Pop,Jóvenes
9/3/2022 20:49:52,Pop,Jóvenes
9/3/2022 20:58:21,Rock,Jóvenes
9/3/2022 21:08:12,Pop,Jóvenes adultos
9/4/2022 2:32:07,Rock,Jóvenes adultos
9/4/2022 10:48:55,Metal,Jóvenes
9/4/2022 11:25:54,Pop,Jóvenes
9/4/2022 21:44:26,Pop,Jóvenes adultos
9/5/2022 6:29:00,Pop,Jóvenes
